"Name","Location","Price","Currency","Rating"
"Diamond Elite hotel","Jeddah",225,"SAR","8.4"
"Swiss EYE","Al Hamra, Jeddah",219,"SAR","7.6"
"Al Hamra Palace ApartHotel Falastin","Al Hamra, Jeddah",170,"SAR","6.7"
"Ebreez Hotel","Al Hamra, Jeddah",200,"SAR","7.5"
"Hawadah Hotel","Al Hamra, Jeddah",230,"SAR","7.3"
"Durrat Hira ApartHotel","Hera Street, Jeddah",163,"SAR","8.1"
"Acacia Aparthotel","Al Salamah, Jeddah",144,"SAR","7.4"
"Danat Park Hotel","Yanbu",140,"SAR","6.5"
"Rose Diamond Hotel","Al Madinah",100,"SAR","6.7"
"Makarim Palm Hotel","Rabigh",160,"SAR","6.8"
"Al Qibla Hotel","Central Madinah, Al Madinah",285,"SAR","6.3"
"Orchida Al Hamra","Riyadh",111,"SAR","5.8"
"Baisan Suites Al Jubail","Al Jubail",210,"SAR","7.0"
"Afaq Jeddah","Jeddah",162,"SAR","6.8"
"Naviti Warwick Al Khobar","Al Khobar",309,"SAR","7.6"
"Bhadur Resort Jeddah","Obhor",600,"SAR","5.7"
"Almuhaidb Residence Al Jubail","Al Jubail",250,"SAR","7.7"
"Royal El Naser Hotel","Al Khobar",150,"SAR","5.3"
"Crown Rose Hotel","Riyadh",360,"SAR","7.8"
"Genac Hotel Yanbu","Yanbu",100,"SAR","7.1"
"Loalat Al Rowdah Family","Al Rawda, Jeddah",210,"SAR","7.8"
"Mena Andalusia Riyadh","Al Olaya, Riyadh",213,"SAR","7.2"
"Golden Abha","Abha",74,"SAR","5.5"
"Iris Boutique Taif Heart","Taif",297,"SAR","8.6"
"Raihat Al Bustan Furnished Units","",180,"SAR","6.4"
"Rawabi Al Khobar Hotel","Al Khobar",275,"SAR","7.4"
"Danat Park Hotel","Yanbu",140,"SAR","6.5"
"Rose Diamond Hotel","Al Madinah",100,"SAR","6.7"
"Makarim Palm Hotel","Rabigh",160,"SAR","6.8"
"Al Qibla Hotel","Central Madinah, Al Madinah",285,"SAR","6.3"
"Orchida Al Hamra","Riyadh",111,"SAR","5.8"
"Areen ApartHotel","Riyadh",171,"SAR","7.4"
"Swiss International Taba Alsalam","Central Madinah, Al Madinah",260,"SAR","7.7"
"Fakher Yanbu Hotel","Yanbu",98,"SAR","7.0"
"Le Park Shaqra","Shaqra",340,"SAR","9.0"
"Baisan Suites Al Jubail","Al Jubail",210,"SAR","7.0"
"Diamond Suites","Al Madinah",156,"SAR","7.1"
"Jinan Al Nakhil Apartment Hotel","",193,"SAR","8.6"
"The District Hotel Najran","Najran",421,"SAR","8.4"
"Asia Hotel","Riyadh",115,"SAR","5.5"
"Freesia Hotel","Jeddah",234,"SAR","7.8"
"Pearl of Vision Hotel","Jeddah",153,"SAR","8.5"
"Pullman Zamzam Madina","Central Madinah, Al Madinah",280,"SAR","8.1"
"Safa Albawadi","Jeddah",130,"SAR","7.6"
"Iwaa Alkharj Apartments","Al Kharj",160,"SAR","7.8"
"Lavana Furnished Apartments Salam","Al Salamah, Jeddah",152,"SAR","7.9"
"Vision of Onaizah Furnished Units","Unayzah",153,"SAR","8.2"
"Rafa Homes","Riyadh",318,"SAR","7.5"
"Dar Al Naem Hotel","Central Madinah, Al Madinah",150,"SAR","6.4"
"Baylasun Life","King Abdullah Economic City",760,"SAR","8.7"
"Gardens View","Taif",216,"SAR","7.3"
"Al Muhaidb Residence Al Takhassusi","Al Olaya, Riyadh",250,"SAR","6.9"
"Al Hayatt Plus","Central Madinah, Al Madinah",175,"SAR","6.9"
"Ramada by Wyndham Dammam Khaleej Road","Dammam",210,"SAR","6.9"
"La fontaine Opal","Al Salamah, Jeddah",280,"SAR","8.2"
"Ghoson Al Zaitoun Furnished Units","Sakakah",130,"SAR","7.1"
"Lamar Al Bawadi Hotel","Jeddah",285,"SAR","8.0"
"Home Inn Hotel Suites","Al Olayya, Al Khobar",210,"SAR","8.7"
"TRAMONTANE","Hail",231,"SAR","8.5"
"Relax Day Hotel","Tabuk",250,"SAR","7.0"
"Al Musafer Hotel Riyadh","Al Sulimania, Riyadh",142,"SAR","5.9"
"Al Diafah Hotel Suites","Al Sulimania, Riyadh",230,"SAR","7.1"
"Hilton Garden Inn Riyadh Financial District","Riyadh",539,"SAR","7.4"
"Areej Hotel","Makkah",55,"SAR","6.3"
"Al Rabwah House","",180,"SAR","6.5"
"Naviti Warwick Dammam","Dammam",289,"SAR","7.8"
"Nadra Furnished Apartments","Taif",280,"SAR","6.8"
"Najd Peak By Quiet Rooms","Riyadh",162,"SAR","5.4"
"Mabet Al Tahlia Hotel Apartments","Al Tahlia Street, Jeddah",237,"SAR","7.9"
"Diamond Tower Hotel","Jeddah",219,"SAR","8.6"
"Maset Al Masem Al Khobar","Al Olayya, Al Khobar",300,"SAR","7.9"
"Al Taif Gate Hotel Suites","Taif",167,"SAR","7.6"
"Hayaa Hotel","Al Aziziyah, Makkah",70,"SAR","6.3"
"Nozol Royal Inn Hotel","Central Madinah, Al Madinah",180,"SAR","7.0"
"Golden Garden Al Corniche","Dammam",299,"SAR","7.2"
"Al Atlal Hotel","Al Khobar",207,"SAR","6.9"
"Iwaa Alkharj Apartments","Al Kharj",160,"SAR","7.8"
"Lavana Furnished Apartments Salam","Al Salamah, Jeddah",152,"SAR","7.9"
"Vision of Onaizah Furnished Units","Unayzah",153,"SAR","8.2"
"Rafa Homes","Riyadh",318,"SAR","7.5"
"Dar Al Naem Hotel","Central Madinah, Al Madinah",150,"SAR","6.4"
"Baylasun Life","King Abdullah Economic City",760,"SAR","8.7"
"Gardens View","Taif",216,"SAR","7.3"
"Al Muhaidb Residence Al Takhassusi","Al Olaya, Riyadh",250,"SAR","6.9"
"Al Hayatt Plus","Central Madinah, Al Madinah",175,"SAR","6.9"
"Ramada by Wyndham Dammam Khaleej Road","Dammam",210,"SAR","6.9"
"La fontaine Opal","Al Salamah, Jeddah",280,"SAR","8.2"
"Ghoson Al Zaitoun Furnished Units","Sakakah",130,"SAR","7.1"
"Lamar Al Bawadi Hotel","Jeddah",285,"SAR","8.0"
"Home Inn Hotel Suites","Al Olayya, Al Khobar",210,"SAR","8.7"
"TRAMONTANE","Hail",231,"SAR","8.5"
"Relax Day Hotel","Tabuk",250,"SAR","7.0"
"Al Musafer Hotel Riyadh","Al Sulimania, Riyadh",142,"SAR","5.9"
