name,city,Condo_hotel,review_badge,review_titel,review_number,cc,price,Duration,persons,stars,taxes,Favorite_partner,type_hotels
Taleen Al Malaz Hotel Apartments," Al Malaz, RiyadhShow",Condo Hotel,7.3,Reviewscore,13reviews,null,SAR 260,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
Tathleeth Palace, TathleethShow,null,7.3,Good,"3,440reviews",null,SAR 260,2 nights, 1 adult,2-star, +SAR13 taxes and charges  ,null,null
شقق الياسمين الفندقية, YanbuShow,Apartments,6.9,Good,361reviews,null,SAR 260,2 nights, 1 adult,null, +SAR26 taxes and charges  ,,Apartments
الهضبتين الخضراء, JeddahShow,Condo Hotel,7.0,Good,"1,923reviews",null,SAR 260,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Khuzama Abha Furnished Apartments, AbhaShow,Condo Hotel,6.9,Reviewscore,21reviews,null,SAR 260,2 nights, 1 adult,null, +SAR13 taxes and charges  ,,Condo Hotel
Sultana Tower Hotel Suites, BuraydahShow,Condo Hotel,7.5,Good,52reviews,null,SAR 260,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
Grand Plaza - Qurtubah, RiyadhShow,Condo Hotel,7.4,Reviewscore,5reviews,null,SAR 260,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
Ahla Amassi Furnished Units, DammamShow,Condo Hotel,7.8,Good,62reviews,null,SAR 260,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Marahal kharj, Al KharjShow,Condo Hotel,7.7,Good,143reviews,null,SAR 260,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
هوم للشقق الفندقيه, Ar RiyāḑShow,null,8.5,Excellent,152reviews,null,SAR 260,2 nights, 1 adult,4-star, includes taxes and charges ,null,null
Al Masa Furnished Units Yanbu 2, YanbuShow,Condo Hotel,7.9,Reviewscore,127reviews,null,SAR 260,2 nights, 1 adult,null, +SAR13 taxes and charges  ,,Condo Hotel
التوفيق ابها للشقق المفروشة, AbhaShow,null,6.3,VeryGood,203reviews,null,SAR 261,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,null
روائع الاحلام للاجنحة الفندقية, JeddahShow,Condo Hotel,7.7,VeryGood,430reviews,null,SAR 261,2 nights, 1 adult,null, +SAR16 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
الماسية الأولى," Al Salamah, JeddahShow",null,7.9,VeryGood,119reviews,null,SAR 264,2 nights, 1 adult,3-star, includes taxes and charges ,null,null
الزوايا الهادئة, JeddahShow,Condo Hotel,6.2,Good,197reviews,null,SAR 264,2 nights, 1 adult,null, +SAR20 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
التورن للأجنحه الفندقية," Al Malaz, RiyadhShow",null,5.5,Reviewscore,85reviews,null,SAR 264,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,null
Rosalina Hotel, YanbuShow,null,8.0,Good,295reviews,null,SAR 264,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,null
Golden Tower Hotel, Al JubailShow,null,7.8,Good,356reviews,null,SAR 266,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,null
Al Corniche Hotel Suites & Villas, HailShow,Condo Hotel,7.4,VeryGood,41reviews,null,SAR 267,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Almakan Hotel 103, RiyadhShow,null,5.9,Good,191reviews,null,SAR 269,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,null
SEPAR Furnished Hotel, Al HofufShow,null,7.4,Good,34reviews,null,SAR 270,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,null
نسايم الروضة, JeddahShow,null,6.1,Good,142reviews,null,SAR 270,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,null
ليالي البلد للشقق المفروشة, JeddahShow,Condo Hotel,None,VeryGood,72reviews,null,SAR 270,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
دار الفخامة للشقق الفندقية, RanyahShow,Condo Hotel,None,Excellent,141reviews,null,SAR 270,2 nights, 1 adult,null, +SAR27 taxes and charges  ,,Condo Hotel
Twilight for Furnished Apartments, SakakahShow,null,None,VeryGood,25reviews,null,SAR 270,2 nights, 1 adult,null, +SAR10 taxes and charges  ,,null
Yamama Palace Maazer Branch, RiyadhShow,Condo Hotel,5.2,Reviewscore,31reviews,null,SAR 270,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
Dar Al Bandaqiah Furnished Units, Khamis MushaytShow,Condo Hotel,7.8,Reviewscore,164reviews,null,SAR 270,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Beuotat Jazan Hotel, GhamrahShow,null,None,Reviewscore,38reviews,null,SAR 270,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,null
تبوك ستار2, TabukShow,Apartments,None,Good,174reviews,null,SAR 270,2 nights, 1 adult,null, +SAR0 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Apartments
فندق امارلس-Amaryllis Hotel, AbhaShow,null,None,Reviewscore,65reviews,null,SAR 270,2 nights, 1 adult,null, includes taxes and charges ,,null
زهرة المنار 1, MuhayilShow,Condo Hotel,None,Reviewscore,159reviews,null,SAR 270,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Al Qaswaa Furnished Apartements, BuraydahShow,Condo Hotel,None,VeryGood,25reviews,null,SAR 270,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Jazan Heart Hotel, JazanShow,null,None,Good,64reviews,null,SAR 270,2 nights, 1 adult,2-star, includes taxes and charges ,null,null
Abraj AlReem 3 Furnished Units, RiyadhShow,Condo Hotel,7.5,Reviewscore,601reviews,null,SAR 270,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Natwan Furnished unites, DammamShow,Condo Hotel,7.9,Good,941reviews,null,SAR 270,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
الربيع للوحدات السكنية المفروشة, HailShow,Condo Hotel,8.1,VeryGood,8reviews,null,SAR 270,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Dorar Darea Hotel Apartments - Al Mughrizat, RiyadhShow,Condo Hotel,5.9,Excellent,251reviews,null,SAR 270,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
ينبع فلاورز سويتس, YanbuShow,Condo Hotel,7.0,VeryGood,69reviews,null,SAR 272,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Golden Tulip Dammam Corniche Hotel, DammamShow,null,7.0,Reviewscore,161reviews,null,SAR 276,2 nights, 1 adult,4-star, +SAR28 taxes and charges  ,null,null
Qasr Al Abrar Furnished Units, BuraydahShow,Condo Hotel,9.0,Reviewscore,94reviews,null,SAR 277,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Snood Al Azama Hotel, MeccaShow,null,7.0,Good,367reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,null
Ahla Al Ayam Hotel," Al Salamah, JeddahShow",Condo Hotel,7.7,Good,114reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Yahalla Hotel Units," Hera Street, JeddahShow",Condo Hotel,7.3,Excellent,513reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Hala Al Khobar furnished hotel Units for Families Only," Al Olayya, Al KhobarShow",Condo Hotel,6.6,Exceptional,5reviews,null,SAR 278,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
منازل ريتان, JazanShow,Apartments,7.9,VeryGood,177reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Apartments
الشهد للوحدات السكنية المفروشة, Khamis MushaytShow,Apartments,5.8,Good,180reviews,null,SAR 278,2 nights, 1 adult,null, includes taxes and charges ,,Apartments
Crown Glory Hotel Suites," Al Olayya, Al KhobarShow",Condo Hotel,8.2,Excellent,33reviews,null,SAR 278,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Sonaa Al Reyadah Hotel Apartments Al Nassim, JeddahShow,Condo Hotel,7.1,Reviewscore,"1,488reviews",null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
سُحب ابها وحدات سكنية فندقية 1, Khamis MushaytShow,Condo Hotel,7.0,Reviewscore,880reviews,null,SAR 278,2 nights, 1 adult,null, +SAR0 taxes and charges  ,,Condo Hotel
Marahel Kharj Aparthotel 3, Al KharjShow,Condo Hotel,7.4,Reviewscore,245reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Night For You Suite Apartment 1 (Families Only), HailShow,Condo Hotel,None,Good,896reviews,null,SAR 278,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Marahal Kharj 2, Al KharjShow,Condo Hotel,None,Excellent,147reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
OYO 411 Moon Hotel, DammamShow,null,None,Excellent,77reviews,null,SAR 278,2 nights, 1 adult,3-star, +SAR21 taxes and charges  ,null,null
OYO 414 Nasaem Jizan Residential Units, JazanShow,null,8.7,Good,420reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,null
Capital O 162 Brzeen Hotel, RiyadhShow,null,8.5,VeryGood,"1,150reviews",null,SAR 278,2 nights, 1 adult,3-star, +SAR21 taxes and charges  ,null,null
OYO 356 Durra Taraf Residential, DammamShow,null,7.6,VeryGood,76reviews,null,SAR 278,2 nights, 1 adult,3-star, +SAR21 taxes and charges  ,null,null
OYO 114 Dome Hotel Al Sulaimaniah," Al Sulimania, RiyadhShow",null,7.3,Good,109reviews,null,SAR 278,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,null
OYO 328 Al Mumiyaz Tower, Raʼs TannūrahShow,null,7.3,Excellent,205reviews,null,SAR 278,2 nights, 1 adult,3-star, +SAR21 taxes and charges  ,null,null
Sama Park Hotel Apartments - Jeddah," King Abdul Aziz Road, JeddahShow",Condo Hotel,8.3,Good,327reviews,null,SAR 278,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
OYO 219 Dewan Al Mokhtar For Furnished Apartments, BuraydahShow,null,7.0,Excellent,211reviews,null,SAR 279,2 nights, 1 adult,null, +SAR35 taxes and charges  ,,null
Durar Beirut Hotel Apartments, JeddahShow,Condo Hotel,None,VeryGood,230reviews,null,SAR 279,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
وافي حائل للوحدات السكنية المفروشة, HailShow,Condo Hotel,None,Good,74reviews,null,SAR 280,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Al Mawasem Al Arbaa ApartHotel, Al JubailShow,Condo Hotel,None,Wonderful,34reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Rowad Alrssafah, UnayzahShow,Condo Hotel,7.4,Wonderful,337reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Farha International Residential Units, JeddahShow,Condo Hotel,8.1,Reviewscore,184reviews,null,SAR 280,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
SAS RTL Hotel, MedinaShow,null,6.8,Good,62reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,null
Hotel nab'a Alsafa Almansour, MeccaShow,null,7.4,Reviewscore,42reviews,null,SAR 280,2 nights, 1 adult,4-star, +SAR21 taxes and charges  ,null,null
Samaa Al Waha Furnished Units, TabukShow,Condo Hotel,7.9,Good,45reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
إطلالة الشرفه," Al Olayya, Al ‘AqrabīyahShow",null,9.3,Good,415reviews,null,SAR 280,2 nights, 1 adult,4-star, +SAR28 taxes and charges  ,null,null
النخلة للشقق الفندقية, Al HofufShow,Condo Hotel,8.1,VeryGood,99reviews,null,SAR 280,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
نزل رتاج للأجنحة الفندقية, Al KharjShow,null,None,Good,231reviews,null,SAR 280,2 nights, 1 adult,null, includes taxes and charges ,,null
Mozn Abha Furnished Units, Sirr Āl Ghalīz̧Show,Condo Hotel,None,Good,111reviews,null,SAR 280,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Lina Park 4," Al Olayya, Al KhobarShow",Condo Hotel,None,Good,5reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Raoum Inn Khafji Southern, KhafjiShow,Condo Hotel,7.2,VeryGood,"1,313reviews",null,SAR 280,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
فلورا بارك 2 للاجنحه الفندقية, YanbuShow,null,6.7,Wonderful,160reviews,null,SAR 280,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,null
Gulf Crown For Residential Units, DammamShow,null,6.5,Good,210reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,null
shams alshate شمس الشاطئ, BuraydahShow,null,6.3,Good,161reviews,null,SAR 280,2 nights, 1 adult,4-star, includes taxes and charges ,null,null
نزل التوت للوحدات السكنية المفروشة, Al KharjShow,Condo Hotel,8.4,Good,77reviews,null,SAR 280,2 nights, 1 adult,null, +SAR0 taxes and charges  ,,Condo Hotel
Ladera Hotel Tanomah لاديرا, TanomahShow,null,6.2,Excellent,140reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,null
دار ريف لين, HailShow,Condo Hotel,8.1,Excellent,152reviews,null,SAR 280,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
هوم سويت للوحدات السكنيه, AbhaShow,Condo Hotel,6.9,Good,199reviews,null,SAR 280,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
درة الرومانسية 1, TabukShow,null,7.5,Excellent,249reviews,null,SAR 280,2 nights, 1 adult,3-star, +SAR0 taxes and charges  ,null,null
El Tawfiq Furnished Suites Malaz, RiyadhShow,Condo Hotel,5.9,Good,133reviews,null,SAR 280,2 nights, 1 adult,null, +SAR35 taxes and charges  ,,Condo Hotel
Marahel El Suly, RiyadhShow,Condo Hotel,6.8,Good,52reviews,null,SAR 280,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
حكاية رؤى للوحدات السكنية المفروشة, JeddahShow,Condo Hotel,8.5,Good,24reviews,null,SAR 280,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Rancy Jeddah Aparthotel, JeddahShow,Condo Hotel,7.5,Good,931reviews,null,SAR 280,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
Radmah Suites Jubail, Al JubailShow,null,6.0,VeryGood,653reviews,null,SAR 280,2 nights, 1 adult,3-star, +SAR21 taxes and charges  ,null,null
Lazourd Palace Hotel Apartments, TaifShow,Condo Hotel,5.9,Good,152reviews,null,SAR 280,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Refal Yanbu furnished units, YanbuShow,Apartments,7.4,Reviewscore,"1,443reviews",null,SAR 280,2 nights, 1 adult,null, +SAR0 taxes and charges  ,,Apartments
Najmat Manami Azizyya," Al Aziziyah, RiyadhShow",Condo Hotel,6.7,Excellent,210reviews,null,SAR 281,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Wakan Hotel, MedinaShow,null,8.5,VeryGood,8reviews,null,SAR 284,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,null
OYO 131 Al Hamra Palace Al Jawazat Branch, RiyadhShow,Condo Hotel,6.8,Good,38reviews,null,SAR 285,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
Jenaan جنان للشقق المفروشة, NajranShow,Apartments,6.7,Good,35reviews,null,SAR 286,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Apartments
Bedar Aparthotel, MuhayilShow,Condo Hotel,7.2,Good,88reviews,null,SAR 286,2 nights, 1 adult,null, +SAR14 taxes and charges  ,,Condo Hotel
WARD Hotel Suites, Ahad RafidahShow,null,6.9,Good,537reviews,null,SAR 288,2 nights, 1 adult,3-star, +SAR22 taxes and charges  ,null,null
Al Eairy Apartments- makkah 7, MeccaShow,Condo Hotel,4.8,Reviewscore,30reviews,null,SAR 288,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
مسكن العائلة," Al Salamah, JeddahShow",Condo Hotel,8.0,VeryGood,112reviews,null,SAR 288,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
Jiwar Albyt Hotel," Al Aziziyah, MeccaShow",null,7.0,Good,191reviews,null,SAR 288,2 nights, 1 adult,3-star, +SAR22 taxes and charges  ,null,null
Mais jeddah suites 1, JeddahShow,Condo Hotel,7.5,Good,717reviews,null,SAR 288,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
Kayan Al Taif Hotel, TaifShow,null,7.2,Good,566reviews,null,SAR 288,2 nights, 1 adult,2-star, +SAR22 taxes and charges  ,null,null
AH ايه اتش, JeddahShow,Condo Hotel,8.2,Good,322reviews,null,SAR 290,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
Aros Al Faisaliah Furnished Units, DammamShow,Condo Hotel,6.8,Good,181reviews,null,SAR 290,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
دانة الازدهار, RiyadhShow,Condo Hotel,7.2,Good,138reviews,null,SAR 290,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
لافينا للأجنحة الفندقية, HailShow,Condo Hotel,None,VeryGood,177reviews,null,SAR 290,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Al Alya Hotel, MedinaShow,Condo Hotel,None,VeryGood,173reviews,null,SAR 290,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
Palms Lily Hotel Suites, Al AhsaShow,Condo Hotel,None,Excellent,69reviews,null,SAR 291,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
بيت الضيافة للشقق الفندقية," Hera Street, JeddahShow",Condo Hotel,7.5,Reviewscore,291reviews,null,SAR 292,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Capital O 338 Asian Hotel, Al JubailShow,null,7.9,Reviewscore,102reviews,null,SAR 293,2 nights, 1 adult,3-star, +SAR15 taxes and charges  ,null,null
OYO 121 Dome Hotel Al Olaya," Al Sulimania, RiyadhShow",Condo Hotel,7.1,Good,237reviews,null,SAR 293,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
اميرالد ريزيدينس, YanbuShow,null,7.2,VeryGood,189reviews,null,SAR 295,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,null
First Room Hotel Apartments, RiyadhShow,Apartments,8.0,Reviewscore,77reviews,null,SAR 295,2 nights, 1 adult,3, +SAR22 taxes and charges  ,null,Apartments
Jeddah Blue Plus Hotel," Al Hamra, JeddahShow",null,5.3,Reviewscore,194reviews,null,SAR 298,2 nights, 1 adult,4-star, +SAR22 taxes and charges  ,null,null
Lavona Hotel Dammam, DammamShow,null,8.4,Reviewscore,37reviews,null,SAR 298,2 nights, 1 adult,3-star, +SAR22 taxes and charges  ,null,null
Bazil Hotel Suites," Al Olaya, RiyadhShow",Condo Hotel,7.2,Reviewscore,74reviews,null,SAR 298,2 nights, 1 adult,null, +SAR22 taxes and charges  ,,Condo Hotel
Al Amoria Furnished Apartments 4, RiyadhShow,Condo Hotel,7.5,Good,104reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
Vision 2 For Residential Units, BuraydahShow,Condo Hotel,6.2,Good,395reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
Yara Suites, BuraydahShow,null,8.4,Reviewscore,274reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,null
Abha Sky (Families Only), AbhaShow,Condo Hotel,7.0,VeryGood,624reviews,null,SAR 298,2 nights, 1 adult,3, +SAR7 taxes and charges  ,null,Condo Hotel
Reef Al Madina Furnished Units, MedinaShow,Condo Hotel,None,Good,96reviews,null,SAR 298,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
ريف قباء للوحدات السكنية المفروشة, MedinaShow,Condo Hotel,None,Excellent,79reviews,null,SAR 298,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Zaid Hotel Suites, ŢurayfShow,null,None,Good,6reviews,null,SAR 298,2 nights, 1 adult,3-star, +SAR15 taxes and charges  ,null,null
Le Park Concord Hotel, ‘AfīfShow,null,7.9,Reviewscore,76reviews,null,SAR 298,2 nights, 1 adult,3-star, +SAR22 taxes and charges  ,null,null
دار أوتيل, ArarShow,Condo Hotel,7.1,Good,142reviews,null,SAR 298,2 nights, 1 adult,null, +SAR22 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
New Suite, RiyadhShow,null,5.5,Reviewscore,159reviews,null,SAR 298,2 nights, 1 adult,4-star, includes taxes and charges ,null,null
Rosa Aparthotel, BuraydahShow,Condo Hotel,7.6,Reviewscore,61reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
Ronza Land, RiyadhShow,Condo Hotel,6.2,Reviewscore,173reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
Madar Florz Hotel, YanbuShow,null,None,Reviewscore,17reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,null
كنز السعد للشقق الفندقية Kenz Al Saad Hotel Apartments, RiyadhShow,Condo Hotel,None,VeryGood,231reviews,null,SAR 298,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Aswar Jeddah Residential Units," Hera Street, JeddahShow",Condo Hotel,None,Good,122reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
Ramis Furnished Units, BuraydahShow,Condo Hotel,None,VeryGood,225reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
La Casa Hotel Apartment, Khamis MushaytShow,null,None,Reviewscore,231reviews,null,SAR 298,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,null
الريـم, Al-ʿUlaShow,null,None,VeryGood,3reviews,null,SAR 299,2 nights, 1 adult,5-star, +SAR0 taxes and charges  ,null,null
OYO 404 Rwnza Hotel Apartments, TabukShow,null,6.8,Good,381reviews,null,SAR 300,2 nights, 1 adult,null, +SAR22 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,null
Alsamer Homes, JeddahShow,Condo Hotel,7.9,Good,152reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,Condo Hotel
Hamasat Al Rabwah Furnished Units, TabukShow,Condo Hotel,7.8,VeryGood,433reviews,null,SAR 300,2 nights, 1 adult,null, +SAR0 taxes and charges  ,,Condo Hotel
JEDDAH PALACE, JeddahShow,null,5.9,Reviewscore,27reviews,null,SAR 300,2 nights, 1 adult,4-star, +SAR14 taxes and charges  ,null,null
Nawazi Al Fateh Hotel, MeccaShow,null,7.6,Good,38reviews,null,SAR 300,2 nights, 1 adult,3-star, +SAR23 taxes and charges  ,null,null
مسكن الراحة, An NikāshahShow,null,4.7,Good,160reviews,null,SAR 300,2 nights, 1 adult,5-star, +SAR30 taxes and charges  ,null,null
Quiet Rooms Apart, RiyadhShow,Apartments,6.8,Good,700reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Apartments
حلم شرورة للوحدات السكنية, SharurahShow,Condo Hotel,8.4,Reviewscore,114reviews,null,SAR 300,2 nights, 1 adult,null, +SAR0 taxes and charges  ,,Condo Hotel
بورتو ون للأجنحة الفندقية, TabukShow,Condo Hotel,7.5,Reviewscore,18reviews,null,SAR 300,2 nights, 1 adult,null, +SAR0 taxes and charges  ,,Condo Hotel
Qasr Hilion Furnished Units, HafaShow,Condo Hotel,8.0,VeryGood,222reviews,null,SAR 300,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Seher Aloyon Funished Apartments, BuraydahShow,Apartments,7.1,Good,134reviews,null,SAR 300,2 nights, 1 adult,null, +SAR0 taxes and charges  ,,Apartments
زهرة المنار ٢, JazanShow,Condo Hotel,8.5,VeryGood,525reviews,null,SAR 300,2 nights, 1 adult,null, +SAR21 taxes and charges  ,,Condo Hotel
House Laveena Hotel Apartments, ObhorShow,Condo Hotel,7.6,Reviewscore,8reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,Condo Hotel
Orchida Turaif Hotel 2, ŢurayfShow,null,7.0,Reviewscore,49reviews,null,SAR 300,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,null
Areen Palace Hotel - Almadina Road, JeddahShow,null,None,Good,69reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,null
Masat Darkom Furnished Apartments, BuraydahShow,Condo Hotel,None,Good,176reviews,null,SAR 300,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Yahalla Hotel Units 2," Hera Street, JeddahShow",Condo Hotel,None,VeryGood,3reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,Condo Hotel
City Suites, Al KhobarShow,Condo Hotel,7.8,Good,385reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,Condo Hotel
Benzart Hotel Apartments, Ad DawādimīShow,Condo Hotel,7.8,Reviewscore,16reviews,null,SAR 300,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
أضواء رفا 2, Al KharjShow,Condo Hotel,7.3,Good,57reviews,null,SAR 300,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
Ajwa Suites for Furnished Units, JeddahShow,Condo Hotel,None,Good,57reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,Condo Hotel
الرحاب للوحدات السكنية المفروشة بتنومة, TanomahShow,null,None,Reviewscore,93reviews,null,SAR 300,2 nights, 1 adult,null, +SAR30 taxes and charges  ,,null
Mansour Plaza Hotel Apartments, DammamShow,Condo Hotel,None,Reviewscore,17reviews,null,SAR 300,2 nights, 1 adult,null, +SAR15 taxes and charges  ,,Condo Hotel
Areen Hotel, JeddahShow,null,7.9,VeryGood,27reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,null
Sarb Alnawres Aparthotel, JeddahShow,Condo Hotel,7.9,Reviewscore,28reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,Condo Hotel
Farha International 2 Residential Units, JeddahShow,Condo Hotel,7.5,Reviewscore,57reviews,null,SAR 300,2 nights, 1 adult,null, +SAR20 taxes and charges  ,,Condo Hotel
Leen Aparthotel, JeddahShow,null,7.0,VeryGood,808reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,null
Al Manzel Al Hadea Hotel Apartments, JeddahShow,Condo Hotel,6.3,Reviewscore,210reviews,null,SAR 300,2 nights, 1 adult,null, +SAR23 taxes and charges  ,,Condo Hotel
